iter	MultiClass
0	1.525500199
1	1.458056295
2	1.38005559
3	1.321450697
4	1.270707497
5	1.214897164
6	1.166869872
7	1.131273476
8	1.102812913
9	1.076626258
10	1.048375305
11	1.016920356
12	0.9794265006
13	0.9498583652
14	0.9253993728
15	0.8957526392
16	0.875209886
17	0.8499872016
18	0.824794434
19	0.8043516668
20	0.7877541505
21	0.7711555102
22	0.7504672039
23	0.7356183587
24	0.7187677066
25	0.7067902288
26	0.6905031464
27	0.6775670746
28	0.6651788801
29	0.6538236667
30	0.6412297362
31	0.6298071469
32	0.6163986171
33	0.6044570909
34	0.5935017597
35	0.5867759107
36	0.5762575095
37	0.5670290866
38	0.558603644
39	0.5510450631
40	0.5438908373
41	0.5380700253
42	0.5326148105
43	0.5264522904
44	0.5188774962
45	0.5088103913
46	0.5034066602
47	0.498093674
48	0.4932924392
49	0.486790866
50	0.4820522635
51	0.4772243592
52	0.4744609886
53	0.4693621882
54	0.463439376
55	0.4611233416
56	0.4569031845
57	0.4548412869
58	0.449282562
59	0.4473833624
60	0.4443614221
61	0.4403308628
62	0.4349084191
63	0.4300237721
64	0.4282311831
65	0.4225220517
66	0.4195898723
67	0.4173005493
68	0.4122571124
69	0.4075632447
70	0.4043611004
71	0.4004131485
72	0.395456955
73	0.3908944736
74	0.3886603553
75	0.3848494339
76	0.3820564475
77	0.3784659679
78	0.3750076746
79	0.3731343993
80	0.3691955746
81	0.3660387964
82	0.3646192909
83	0.3608992586
84	0.3574124599
85	0.3551131587
86	0.3519211584
87	0.3492491524
88	0.3456521046
89	0.342775198
90	0.3395669538
91	0.3350063176
92	0.3317482356
93	0.3278541801
94	0.3248224944
95	0.3219203003
96	0.3188243015
97	0.3165112141
98	0.3135313929
99	0.3092741482
100	0.3076088197
101	0.3059581565
102	0.3035928811
103	0.3014287932
104	0.2998957207
105	0.2964689336
106	0.2939858749
107	0.2904641477
108	0.2887103023
109	0.2851727425
110	0.282437373
111	0.2799579203
112	0.2773173044
113	0.2763656161
114	0.27364333
115	0.2709091437
116	0.2696927553
117	0.2688904765
118	0.2657331918
119	0.2638683587
120	0.2616606853
121	0.2597259514
122	0.2590864411
123	0.257514067
124	0.255612506
125	0.2538474422
126	0.2522898126
127	0.2518805967
128	0.2498513946
129	0.2487580698
130	0.2476571826
131	0.2471663364
132	0.2449591386
133	0.2441959209
134	0.2437953388
135	0.243326933
136	0.2422805766
137	0.2408956527
138	0.2381051585
139	0.2373825932
140	0.2349537835
141	0.2332651473
142	0.2329404283
143	0.2308860045
144	0.2290416167
145	0.2285954601
146	0.2282067728
147	0.2263294113
148	0.2258108229
149	0.2248997538
150	0.2227735068
