iter	Passed	Remaining
0	35	35125
1	64	32350
2	94	31318
3	127	31794
4	158	31637
5	189	31397
6	220	31251
7	258	32007
8	288	31738
9	320	31699
10	352	31651
11	379	31269
12	414	31488
13	446	31464
14	477	31364
15	503	30994
16	538	31130
17	570	31123
18	597	30843
19	632	30979
20	671	31304
21	706	31425
22	740	31445
23	776	31573
24	817	31877
25	852	31946
26	885	31924
27	913	31711
28	950	31838
29	982	31767
30	1011	31617
31	1038	31422
32	1064	31207
33	1097	31170
34	1127	31077
35	1164	31170
36	1199	31226
37	1234	31261
38	1263	31127
39	1294	31078
40	1332	31178
41	1368	31216
42	1401	31201
43	1433	31153
44	1462	31042
45	1501	31137
46	1536	31159
47	1569	31124
48	1597	31011
49	1631	30990
50	1658	30865
51	1691	30835
52	1726	30841
53	1766	30949
54	1853	31851
55	1890	31871
56	1917	31729
57	1954	31749
58	1985	31660
59	2019	31633
60	2050	31559
61	2085	31554
62	2120	31533
63	2146	31399
64	2179	31352
65	2216	31362
66	2245	31268
67	2282	31278
68	2321	31318
69	2356	31311
70	2386	31221
71	2414	31124
72	2455	31183
73	2488	31143
74	2522	31106
75	2556	31076
76	2590	31054
77	2622	30997
78	2656	30966
79	2688	30923
80	2719	30849
81	2747	30761
82	2779	30711
83	2814	30687
84	2846	30640
85	2873	30537
86	2905	30490
87	2939	30468
88	2970	30401
89	3002	30361
90	3032	30296
91	3061	30220
92	3088	30124
93	3122	30100
94	3155	30064
95	3185	29996
96	3216	29939
97	3254	29951
98	3284	29893
99	3317	29853
100	3346	29790
101	3377	29735
102	3412	29721
103	3444	29675
104	3472	29599
105	3504	29558
106	3539	29543
107	3572	29505
108	3602	29450
109	3630	29377
110	3661	29323
111	3697	29313
112	3730	29281
113	3764	29255
114	3793	29192
115	3821	29123
116	3853	29079
117	3884	29036
118	3913	28974
119	3949	28960
120	3982	28928
121	4013	28881
122	4044	28836
123	4078	28810
124	4106	28742
125	4135	28684
126	4166	28640
127	4196	28590
128	4224	28526
129	4257	28491
130	4291	28464
131	4324	28435
132	4356	28395
133	4386	28346
134	4416	28296
135	4448	28264
136	4474	28188
137	4505	28144
138	4538	28112
139	4575	28104
140	4604	28049
141	4635	28010
142	4662	27939
143	4692	27895
144	4719	27826
145	4750	27787
146	4784	27763
147	4813	27709
148	4848	27694
149	4880	27654
150	4913	27626
151	4943	27578
152	4976	27551
153	5011	27530
154	5040	27480
155	5068	27423
156	5095	27359
157	5130	27338
158	5159	27290
159	5190	27249
160	5219	27197
161	5251	27166
162	5285	27139
163	5313	27087
164	5346	27054
165	5379	27028
166	5407	26973
167	5441	26950
168	5474	26919
169	5503	26870
170	5534	26832
171	5561	26773
172	5591	26729
173	5623	26693
174	5650	26639
175	5682	26604
176	5712	26560
177	5746	26535
178	5780	26513
179	5817	26499
180	5847	26459
181	5879	26424
182	5905	26363
183	5934	26316
184	5968	26293
185	6000	26260
186	6025	26197
187	6055	26156
188	6083	26105
189	6110	26048
190	6134	25984
191	6161	25929
192	6191	25890
193	6222	25852
194	6256	25829
195	6285	25784
196	6312	25731
197	6345	25702
198	6377	25668
199	6407	25629
200	6436	25585
201	6468	25552
202	6501	25524
203	6531	25486
204	6561	25445
205	6590	25402
206	6624	25377
207	6654	25339
208	6682	25290
209	6716	25265
210	6748	25235
211	6781	25206
212	6807	25153
213	6838	25117
214	6866	25070
215	6899	25043
216	6926	24993
217	6952	24938
218	6979	24892
219	7003	24831
220	7034	24795
221	7059	24740
222	7089	24702
223	7116	24652
224	7144	24609
225	7175	24573
226	7201	24522
227	7230	24483
228	7257	24436
229	7293	24417
230	7323	24379
231	7354	24344
232	7385	24310
233	7419	24288
234	7449	24250
235	7477	24205
236	7505	24161
237	7530	24111
238	7563	24081
239	7590	24037
240	7617	23989
241	7647	23953
242	7681	23929
243	7712	23896
244	7746	23872
245	7775	23831
246	7803	23790
247	7834	23755
248	7863	23716
249	7893	23680
250	7922	23641
251	7954	23612
252	7985	23578
253	8018	23549
254	8042	23497
255	8071	23457
256	8099	23414
257	8128	23376
258	8157	23338
259	8188	23306
260	8216	23265
261	8244	23223
262	8273	23183
263	8302	23147
264	8333	23113
265	8366	23086
266	8396	23050
267	8428	23020
268	8468	23013
269	8495	22969
270	8526	22937
271	8557	22903
272	8592	22881
273	8623	22848
274	8654	22816
275	8684	22780
276	8715	22748
277	8744	22710
278	8782	22697
279	8815	22668
280	8849	22643
281	8884	22620
282	8918	22596
283	8947	22557
284	8976	22520
285	9009	22491
286	9036	22449
287	9062	22404
288	9094	22374
289	9121	22331
290	9150	22293
291	9175	22246
292	9204	22209
293	9234	22176
294	9265	22143
295	9293	22103
296	9325	22072
297	9358	22046
298	9388	22012
299	9420	21980
300	9446	21937
301	9473	21896
302	9502	21859
303	9528	21815
304	9554	21771
305	9579	21726
306	9604	21679
307	9633	21644
308	9663	21608
309	9688	21565
310	9717	21528
311	9742	21482
312	9774	21453
313	9801	21414
314	9829	21376
315	9858	21339
316	9889	21308
317	9913	21261
318	9940	21220
319	9966	21178
320	9994	21141
321	10021	21102
322	10048	21061
323	10075	21022
324	10103	20985
325	10132	20949
326	10159	20908
327	10187	20872
328	10212	20828
329	10236	20783
330	10258	20734
331	10284	20693
332	10311	20654
333	10335	20609
334	10362	20570
335	10391	20536
336	10414	20489
337	10447	20461
338	10478	20431
339	10507	20396
340	10530	20351
341	10557	20311
342	10584	20274
343	10609	20232
344	10635	20191
345	10664	20158
346	10700	20137
347	10732	20107
348	10763	20078
349	10797	20051
350	10822	20010
351	10849	19972
352	10879	19940
353	10908	19906
354	10937	19871
355	10965	19837
356	10992	19798
357	11023	19767
358	11048	19726
359	11077	19693
360	11102	19652
361	11131	19618
362	11155	19576
363	11185	19543
364	11216	19513
365	11243	19476
366	11270	19438
367	11302	19411
368	11333	19381
369	11361	19345
370	11391	19313
371	11420	19280
372	11452	19250
373	11477	19211
374	11500	19167
375	11530	19136
376	11559	19101
377	11583	19061
378	11611	19026
379	11636	18986
380	11670	18960
381	11693	18917
382	11718	18877
383	11748	18847
384	11776	18812
385	11807	18782
386	11832	18742
387	11856	18701
388	11878	18658
389	11903	18618
390	11937	18593
391	11963	18555
392	11987	18515
393	12011	18475
394	12036	18436
395	12066	18404
396	12090	18364
397	12118	18330
398	12145	18294
399	12170	18256
400	12193	18214
401	12220	18178
402	12252	18150
403	12279	18115
404	12306	18080
405	12331	18041
406	12357	18004
407	12380	17963
408	12407	17929
409	12433	17892
410	12461	17858
411	12483	17816
412	12516	17790
413	12542	17753
414	12570	17719
415	12597	17685
416	12626	17653
417	12649	17612
418	12674	17574
419	12703	17543
420	12726	17503
421	12754	17469
422	12777	17429
423	12803	17393
424	12876	17420
425	12910	17395
426	12942	17368
427	12967	17330
428	12993	17294
429	13017	17255
430	13042	17218
431	13068	17182
432	13090	17141
433	13117	17106
434	13140	17067
435	13169	17035
436	13193	16997
437	13221	16964
438	13249	16931
439	13278	16899
440	13306	16866
441	13336	16836
442	13361	16799
443	13385	16761
444	13413	16729
445	13440	16695
446	13467	16661
447	13496	16629
448	13519	16590
449	13544	16554
450	13572	16522
451	13603	16492
452	13629	16457
453	13655	16422
454	13683	16390
455	13711	16357
456	13739	16325
457	13766	16291
458	13793	16258
459	13819	16223
460	13845	16188
461	13876	16159
462	13903	16125
463	13930	16092
464	13957	16058
465	13982	16022
466	14006	15986
467	14031	15950
468	14057	15915
469	14080	15878
470	14110	15847
471	14135	15813
472	14157	15774
473	14183	15739
474	14206	15701
475	14227	15662
476	14255	15630
477	14280	15595
478	14303	15557
479	14330	15524
480	14358	15493
481	14387	15462
482	14411	15426
483	14434	15388
484	14462	15357
485	14486	15321
486	14517	15292
487	14544	15259
488	14574	15230
489	14602	15198
490	14625	15161
491	14648	15125
492	14672	15089
493	14698	15055
494	14728	15025
495	14756	14994
496	14785	14963
497	14813	14932
498	14837	14896
499	14863	14863
500	14887	14828
501	14914	14795
502	14941	14763
503	14968	14730
504	14994	14697
505	15024	14668
506	15050	14634
507	15086	14611
508	15111	14577
509	15133	14540
510	15158	14505
511	15183	14471
512	15209	14438
513	15235	14405
514	15262	14373
515	15288	14340
516	15323	14315
517	15350	14283
518	15378	14252
519	15402	14217
520	15425	14182
521	15459	14156
522	15482	14121
523	15510	14089
524	15534	14054
525	15563	14025
526	15592	13994
527	15630	13972
528	15663	13946
529	15698	13921
530	15726	13890
531	15758	13862
532	15784	13830
533	15812	13798
534	15834	13762
535	15859	13728
536	15886	13697
537	15910	13662
538	15937	13631
539	15959	13595
540	15985	13562
541	16010	13528
542	16032	13493
543	16056	13458
544	16081	13425
545	16108	13394
546	16132	13359
547	16160	13329
548	16184	13295
549	16215	13267
550	16243	13236
551	16267	13202
552	16296	13172
553	16327	13144
554	16357	13115
555	16384	13084
556	16411	13052
557	16437	13020
558	16469	12992
559	16495	12960
560	16525	12931
561	16555	12902
562	16586	12874
563	16611	12841
564	16634	12807
565	16659	12773
566	16693	12748
567	16721	12717
568	16749	12687
569	16774	12654
570	16798	12620
571	16828	12591
572	16862	12566
573	16888	12534
574	16917	12504
575	16944	12473
576	16975	12445
577	17001	12413
578	17025	12379
579	17050	12346
580	17073	12312
581	17097	12279
582	17121	12246
583	17149	12216
584	17175	12184
585	17201	12152
586	17226	12120
587	17249	12086
588	17274	12054
589	17305	12025
590	17333	11995
591	17362	11966
592	17388	11934
593	17420	11907
594	17448	11876
595	17472	11843
596	17499	11812
597	17525	11781
598	17551	11749
599	17576	11717
600	17607	11689
601	17631	11656
602	17657	11625
603	17681	11592
604	17705	11560
605	17729	11527
606	17756	11496
607	17784	11466
608	17810	11434
609	17834	11402
610	17864	11373
611	17892	11343
612	17918	11312
613	17940	11278
614	17976	11253
615	18006	11225
616	18031	11192
617	18059	11162
618	18090	11135
619	18118	11104
620	18143	11072
621	18166	11040
622	18194	11010
623	18229	10984
624	18254	10952
625	18279	10921
626	18305	10889
627	18330	10858
628	18359	10829
629	18382	10796
630	18408	10765
631	18441	10738
632	18467	10707
633	18492	10675
634	18517	10643
635	18543	10613
636	18567	10580
637	18602	10555
638	18626	10522
639	18650	10491
640	18677	10460
641	18703	10429
642	18733	10400
643	18767	10374
644	18796	10345
645	18820	10313
646	18849	10284
647	18873	10252
648	18899	10221
649	18925	10190
650	18951	10159
651	18978	10129
652	19006	10099
653	19033	10069
654	19062	10040
655	19097	10014
656	19121	9982
657	19148	9952
658	19178	9924
659	19202	9892
660	19228	9861
661	19253	9830
662	19278	9799
663	19304	9768
664	19328	9737
665	19356	9707
666	19381	9676
667	19408	9645
668	19433	9614
669	19457	9583
670	19484	9553
671	19512	9523
672	19538	9493
673	19561	9461
674	19583	9429
675	19607	9397
676	19634	9367
677	19657	9335
678	19689	9308
679	19721	9280
680	19747	9250
681	19781	9223
682	19810	9194
683	19839	9165
684	19865	9135
685	19890	9104
686	19919	9075
687	19951	9047
688	19978	9017
689	20004	8987
690	20029	8956
691	20057	8927
692	20083	8896
693	20111	8867
694	20145	8840
695	20170	8809
696	20196	8779
697	20221	8749
698	20245	8717
699	20269	8687
700	20295	8656
701	20322	8627
702	20354	8599
703	20385	8571
704	20412	8541
705	20445	8514
706	20473	8484
707	20503	8456
708	20531	8426
709	20557	8396
710	20581	8365
711	20612	8337
712	20639	8308
713	20666	8278
714	20688	8246
715	20718	8217
716	20742	8186
717	20769	8157
718	20799	8128
719	20829	8100
720	20864	8073
721	20890	8043
722	20916	8013
723	20944	7984
724	20975	7956
725	20999	7925
726	21030	7897
727	21066	7870
728	21092	7840
729	21116	7810
730	21141	7779
731	21169	7750
732	21192	7719
733	21216	7688
734	21240	7658
735	21266	7628
736	21292	7598
737	21319	7568
738	21350	7540
739	21377	7511
740	21406	7482
741	21433	7452
742	21460	7423
743	21486	7393
744	21519	7365
745	21547	7336
746	21576	7307
747	21660	7297
748	21688	7268
749	21714	7238
750	21745	7210
751	21773	7180
752	21801	7151
753	21835	7123
754	21860	7093
755	21889	7064
756	21919	7036
757	21948	7007
758	21982	6979
759	22011	6950
760	22044	6923
761	22076	6895
762	22109	6867
763	22134	6837
764	22169	6810
765	22196	6780
766	22225	6751
767	22251	6721
768	22276	6691
769	22307	6663
770	22331	6632
771	22365	6605
772	22398	6577
773	22432	6550
774	22464	6521
775	22489	6491
776	22518	6462
777	22543	6432
778	22574	6404
779	22599	6374
780	22625	6344
781	22650	6314
782	22677	6284
783	22702	6254
784	22729	6225
785	22758	6196
786	22786	6167
787	22812	6137
788	22840	6108
789	22865	6078
790	22893	6049
791	22918	6019
792	22949	5990
793	22977	5961
794	23008	5933
795	23033	5903
796	23065	5874
797	23097	5846
798	23124	5817
799	23156	5789
800	23184	5759
801	23225	5733
802	23252	5704
803	23284	5676
804	23312	5647
805	23342	5618
806	23375	5590
807	23405	5561
808	23437	5533
809	23471	5505
810	23499	5476
811	23529	5447
812	23554	5417
813	23585	5389
814	23613	5360
815	23644	5331
816	23671	5302
817	23698	5272
818	23726	5243
819	23750	5213
820	23775	5183
821	23798	5153
822	23824	5123
823	23854	5095
824	23888	5067
825	23921	5039
826	23949	5009
827	23977	4980
828	24003	4951
829	24034	4922
830	24061	4893
831	24088	4864
832	24112	4834
833	24139	4804
834	24173	4776
835	24198	4746
836	24228	4718
837	24257	4689
838	24286	4660
839	24314	4631
840	24344	4602
841	24369	4572
842	24399	4544
843	24425	4514
844	24452	4485
845	24479	4456
846	24511	4427
847	24536	4398
848	24566	4369
849	24595	4340
850	24626	4311
851	24657	4283
852	24685	4254
853	24716	4225
854	24741	4195
855	24767	4166
856	24797	4137
857	24824	4108
858	24848	4078
859	24872	4048
860	24899	4019
861	24923	3990
862	24949	3960
863	24977	3931
864	25009	3903
865	25041	3874
866	25068	3845
867	25098	3816
868	25125	3787
869	25156	3759
870	25185	3730
871	25215	3701
872	25241	3671
873	25274	3643
874	25302	3614
875	25337	3586
876	25364	3557
877	25389	3527
878	25417	3498
879	25444	3469
880	25468	3440
881	25498	3411
882	25522	3381
883	25559	3353
884	25592	3325
885	25620	3296
886	25649	3267
887	25681	3239
888	25706	3209
889	25734	3180
890	25765	3152
891	25793	3122
892	25822	3094
893	25847	3064
894	25879	3036
895	25904	3006
896	25930	2977
897	25953	2947
898	25984	2919
899	26013	2890
900	26040	2861
901	26069	2832
902	26098	2803
903	26124	2774
904	26148	2744
905	26172	2715
906	26201	2686
907	26229	2657
908	26261	2629
909	26285	2599
910	26313	2570
911	26339	2541
912	26363	2512
913	26389	2483
914	26417	2454
915	26442	2424
916	26471	2395
917	26501	2367
918	26524	2337
919	26554	2309
920	26585	2280
921	26610	2251
922	26640	2222
923	26669	2193
924	26694	2164
925	26718	2135
926	26745	2106
927	26770	2077
928	26799	2048
929	26825	2019
930	26849	1989
931	26878	1961
932	26905	1932
933	26931	1903
934	26956	1873
935	26982	1844
936	27008	1815
937	27032	1786
938	27061	1758
939	27086	1728
940	27117	1700
941	27144	1671
942	27167	1642
943	27194	1613
944	27227	1584
945	27255	1555
946	27286	1527
947	27315	1498
948	27345	1469
949	27376	1440
950	27403	1411
951	27431	1383
952	27465	1354
953	27489	1325
954	27514	1296
955	27537	1267
956	27562	1238
957	27586	1209
958	27617	1180
959	27643	1151
960	27668	1122
961	27699	1094
962	27727	1065
963	27761	1036
964	27784	1007
965	27815	978
966	27838	950
967	27865	921
968	27891	892
969	27920	863
970	27946	834
971	27975	805
972	27999	776
973	28028	748
974	28057	719
975	28084	690
976	28114	661
977	28144	633
978	28170	604
979	28197	575
980	28225	546
981	28249	517
982	28276	489
983	28301	460
984	28329	431
985	28357	402
986	28381	373
987	28406	345
988	28432	316
989	28463	287
990	28486	258
991	28513	229
992	28540	201
993	28569	172
994	28593	143
995	28618	114
996	28646	86
997	28676	57
998	28701	28
999	28729	0
